"year"	"streamflow"	"station"	"nino"	"ivar"
1957	0.0594034773097273	4	1.00651049445601	1
1958	0.151126984126984	4	0.0170176416035831	1
1959	5.16323051485552	4	-0.46398582166154	1
1960	0.0195146774521775	4	-0.216612608448433	1
1961	2.01660131766382	4	-0.68387312916689	1
1962	0.0511596713471714	4	-0.649515731571371	1
1963	0.511290865384615	4	0.920617021081647	1
1964	0.972055759055758	4	-1.2370271129525	1
1965	1.104224753256	4	1.63181500906934	1
1966	0.997389919108669	4	-0.285327393332258	1
1967	0.525122303622303	4	-0.563622258197004	1
1968	0.0603861797924298	4	0.38464172578658	1
1969	1.40341061253561	4	0.700729723883511	1
1970	0.363596141975309	4	-0.938117813653332	1
1971	0.0666610576923077	4	-0.962167994031641	1
1972	1.77084321581197	4	1.81047343739862	1
1973	1.25561365486365	4	-1.86576736320249	1
1974	1.67217176689052	4	-0.71479478081853	1
1975	1.18415467287342	4	-1.56685806390332	1
1976	0.538385556573056	4	0.803801896055641	1
1977	0.0855658068783069	4	0.724779893954602	1
1978	0.673097298534799	4	-0.329991997837774	1
1979	0.202024763431013	4	0.432742076235979	1
1980	0.145074315730566	4	-0.0173397456847221	1
1981	0.271781962250712	4	-0.106668965002972	1
1982	0.10810451007326	4	2.05784665061172	1
1983	1.64090715303215	4	-0.81786695299066	1
1984	1.11569508038258	4	-0.55331504097979	1
1985	0.379955217236467	4	-0.333427743781654	1
1986	0.469346052096052	4	1.00651049445601	1
1987	0.451313721001221	4	1.55966448854885	1
1988	0.274965547839506	4	-1.49814328932671	1
1989	0.470089362026862	4	-0.192562438377342	1
1990	0.358241096866097	4	0.388077461423245	1
1991	0.0217557743182743	4	1.05461084490541	1
1992	0.131310757529508	4	-0.0207754813213876	1
1993	1.0502372049247	4	0.343412856917729	1
1994	0.158673687423687	4	1.00651049445601	1
1995	0.292116211334961	4	-0.766330866904595	1
1996	0.0622231252543752	4	-0.247534260100069	1
1997	0.260602983821734	4	2.57664325741625	1
1998	1.6910894510582	4	-1.2370271129525	1
1999	1.68396316646317	4	-1.14082642236092	1
2000	1.57793377340252	4	-0.484600256095965	1
2001	0.118971306471307	4	-0.0448256616996964	1
2002	0.110424361518112	4	1.50812840246278	1
2003	0.114279227716728	4	0.556428682842531	1
2004	0.130935057997558	4	0.954974408369953	1
2005	0.372230743793244	4	-0.0379541801191474	1
2006	0.429088560744811	4	0.985896060021589	1
2007	1.38880746336996	4	-1.18549102686644	1
2008	1.33769385938136	4	-0.158205051089037	1
2009	0.151349053724054	4	1.24014075481524	1
2010	4.30863207163207	4	-1.49127180774616	1
2011	0.49070578958079	4	-0.838481387425085	1
2012	0.184304042022792	4	0.477406680741495	1
2013	0.096875724969475	4	0.0238891231841284	1
2014	0.13168792866941	4	0.714472676737391	1
1966	0.458615397334147	5	-0.285327393332258	1
1967	0.496405207061457	5	-0.563622258197004	1
1968	0.10073848951974	5	0.38464172578658	1
1969	0.662927007020757	5	0.700729723883511	1
1970	0.178180841656263	5	-0.938117813653332	1
1971	0.36954608007733	5	-0.962167994031641	1
1972	2.30562375356125	5	1.81047343739862	1
1973	0.832414720695971	5	-1.86576736320249	1
1974	0.566801243894994	5	-0.71479478081853	1
1975	0.834424666768417	5	-1.56685806390332	1
1976	0.469395222832723	5	0.803801896055641	1
1977	0.249826452482703	5	0.724779893954602	1
1978	0.514729891636142	5	-0.329991997837774	1
1979	0.163703334859585	5	0.432742076235979	1
1980	0.15533312983313	5	-0.0173397456847221	1
1981	0.270532534595035	5	-0.106668965002972	1
1982	0.766721382783882	5	2.05784665061172	1
1983	1.54463323045267	5	-0.81786695299066	1
1984	0.698375975343321	5	-0.55331504097979	1
1985	0.313684167684168	5	-0.333427743781654	1
1986	0.0985603123728124	5	1.00651049445601	1
1987	0.451316073972324	5	1.55966448854885	1
1988	1.27237601750102	5	-1.49814328932671	1
1989	0.51024144027269	5	-0.192562438377342	1
1990	0.361268518518518	5	0.388077461423245	1
1991	0.0979703398453398	5	1.05461084490541	1
1992	0.307231672262922	5	-0.0207754813213876	1
1993	0.193899089336589	5	0.343412856917729	1
1994	0.105458040801791	5	1.00651049445601	1
1995	0.235408005189255	5	-0.766330866904595	1
1996	0.304300506206756	5	-0.247534260100069	1
1997	0.432549984737485	5	2.57664325741625	1
1998	0.707848939255189	5	-1.2370271129525	1
1999	1.53953468406593	5	-1.14082642236092	1
2000	0.253770413614164	5	-0.484600256095965	1
2001	0.211085202991453	5	-0.0448256616996964	1
2002	0.0273067644032922	5	1.50812840246278	1
2003	0.170085056584362	5	0.556428682842531	1
2004	0.156854539609053	5	0.954974408369953	1
2005	0.16142846967847	5	-0.0379541801191474	1
2006	0.204918663512413	5	0.985896060021589	1
2007	0.150044604700855	5	-1.18549102686644	1
2008	0.503400323056573	5	-0.158205051089037	1
2009	0.169017094017094	5	1.24014075481524	1
2010	1.74235564204314	5	-1.49127180774616	1
2011	0.450429436304436	5	-0.838481387425085	1
2012	0.277396367521367	5	0.477406680741495	1
2013	0.349427642958893	5	0.0238891231841284	1
2014	0.105037024318274	5	0.714472676737391	1
